Index,LT,Age,Country,Locality,Site,Date,GPS Latitude N,GPS Longitude E,End-Start (Intercept),Genus,Species,AphiaID,Depth [m],ReefZone
1,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,5,Acropora,digitifera,207045,1,Reef edge
2,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,26,NA,NA,NA,1,Reef edge
3,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,1,NA,NA,NA,1,Reef edge
4,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,12,NA,NA,NA,1,Reef edge
5,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,5,NA,NA,NA,1,Reef edge
6,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,8,NA,NA,NA,1,Reef edge
7,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,4,NA,NA,NA,1,Reef edge
8,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,20,NA,NA,NA,1,Reef edge
9,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,28,NA,NA,NA,1,Reef edge
10,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,2,NA,NA,NA,1,Reef edge
11,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,8,NA,NA,NA,1,Reef edge
12,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,8,NA,NA,NA,1,Reef edge
13,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,12,NA,NA,NA,1,Reef edge
14,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,6,NA,NA,NA,1,Reef edge
15,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,12,NA,NA,NA,1,Reef edge
16,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,3,NA,NA,NA,1,Reef edge
17,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,10,NA,NA,NA,1,Reef edge
18,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,7,NA,NA,NA,1,Reef edge
19,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,24,NA,NA,NA,1,Reef edge
20,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,39,NA,NA,NA,1,Reef edge
21,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,10,NA,NA,NA,1,Reef edge
22,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,3,Pocillopora,verrucosa,206954,1,Reef edge
23,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,5,Pocillopora,verrucosa,206954,1,Reef edge
24,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,16,Pocillopora,verrucosa,206954,1,Reef edge
25,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,6,Pocillopora,verrucosa,206954,1,Reef edge
26,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,17,Pocillopora,verrucosa,206954,1,Reef edge
27,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,27,Pocillopora,verrucosa,206954,1,Reef edge
28,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,13,Pocillopora,verrucosa,206954,1,Reef edge
29,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,8,Pocillopora,verrucosa,206954,1,Reef edge
30,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,10,Pocillopora,verrucosa,206954,1,Reef edge
31,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,18,Pocillopora,verrucosa,206954,1,Reef edge
32,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,13,Pocillopora,verrucosa,206954,1,Reef edge
33,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,12,Pocillopora,verrucosa,206954,1,Reef edge
34,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,5,Pocillopora,verrucosa,206954,1,Reef edge
35,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,24,Pocillopora,verrucosa,206954,1,Reef edge
36,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,11,Montipora,sp.,203834,1,Reef edge
37,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,2,Cyphastrea,sp.,206488,1,Reef edge
38,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,8,Porites,sp.,206485,1,Reef edge
39,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,5,Porites,sp.,206485,1,Reef edge
40,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,29,Porites,sp.,206485,1,Reef edge
41,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,5,Porites,sp.,206485,1,Reef edge
42,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,8,Porites,sp.,206485,1,Reef edge
