"Index","LT","Age","Country","Locality","Site","Date","GPS Latitude N","GPS Longitude E","End-Start (Intercept)","Genus","Species","AphiaID","Depth [m]","ReefZone","Category"
1,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,5,"Acropora","digitifera",207045,1,"Reef edge","ACB"
2,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,26,NA,NA,NA,1,"Reef edge",NA
2,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,26,NA,NA,NA,1,"Reef edge",NA
3,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,1,NA,NA,NA,1,"Reef edge",NA
4,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,12,NA,NA,NA,1,"Reef edge",NA
4,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,12,NA,NA,NA,1,"Reef edge",NA
5,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,5,NA,NA,NA,1,"Reef edge",NA
6,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,8,NA,NA,NA,1,"Reef edge",NA
7,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,4,NA,NA,NA,1,"Reef edge",NA
8,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,20,NA,NA,NA,1,"Reef edge",NA
8,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,20,NA,NA,NA,1,"Reef edge",NA
9,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,28,NA,NA,NA,1,"Reef edge",NA
10,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,2,NA,NA,NA,1,"Reef edge",NA
