"Index","LT","Age","Country","Locality","Site","Date","GPS Latitude N","GPS Longitude E","End-Start (Intercept)","NumberOfIntercepts","TransectLength","NumberOfCoralIntercepts","TransectCoralLength","Depth [m]","ReefZone","Category","Kingdom","Phylum","Class","Order","Family","Genus","Species","ScientificName","Rank","AphiaID"
1,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,5,124,2361,56,1160,1,"Reef edge","ACB","Animalia","Cnidaria","Hexacorallia","Scleractinia","Acroporidae","Acropora","digitifera","Acropora sp.","Genus",207045
2,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,3,124,2361,56,1160,1,"Reef edge","CB","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Pocillopora","verrucosa","Pocillopora verrucosa","Species",206954
3,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,5,124,2361,56,1160,1,"Reef edge","CB","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Pocillopora","verrucosa","Pocillopora verrucosa","Species",206954
4,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,16,124,2361,56,1160,1,"Reef edge","CB","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Pocillopora","verrucosa","Pocillopora verrucosa","Species",206954
5,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,6,124,2361,56,1160,1,"Reef edge","CB","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Pocillopora","verrucosa","Pocillopora verrucosa","Species",206954
6,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,17,124,2361,56,1160,1,"Reef edge","CB","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Pocillopora","verrucosa","Pocillopora verrucosa","Species",206954
7,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,27,124,2361,56,1160,1,"Reef edge","CB","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Pocillopora","verrucosa","Pocillopora verrucosa","Species",206954
8,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,13,124,2361,56,1160,1,"Reef edge","CB","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Pocillopora","verrucosa","Pocillopora verrucosa","Species",206954
9,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,8,124,2361,56,1160,1,"Reef edge","CB","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Pocillopora","verrucosa","Pocillopora verrucosa","Species",206954
10,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,10,124,2361,56,1160,1,"Reef edge","CB","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Pocillopora","verrucosa","Pocillopora verrucosa","Species",206954
11,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,18,124,2361,56,1160,1,"Reef edge","CB","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Pocillopora","verrucosa","Pocillopora verrucosa","Species",206954
12,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,13,124,2361,56,1160,1,"Reef edge","CB","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Pocillopora","verrucosa","Pocillopora verrucosa","Species",206954
13,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,12,124,2361,56,1160,1,"Reef edge","CB","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Pocillopora","verrucosa","Pocillopora verrucosa","Species",206954
14,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,5,124,2361,56,1160,1,"Reef edge","CB","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Pocillopora","verrucosa","Pocillopora verrucosa","Species",206954
15,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,24,124,2361,56,1160,1,"Reef edge","CB","Animalia","Cnidaria","Hexacorallia","Scleractinia","Pocilloporidae","Pocillopora","verrucosa","Pocillopora verrucosa","Species",206954
16,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,11,124,2361,56,1160,1,"Reef edge","CD","Animalia","Cnidaria","Hexacorallia","Scleractinia","Acroporidae","Montipora","sp.","Montipora sp.","Genus",203834
17,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,2,124,2361,56,1160,1,"Reef edge","CE","Animalia","Cnidaria","Hexacorallia","Scleractinia","Merulinidae","Cyphastrea","sp.","Cyphastrea sp.","Genus",206488
18,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,8,124,2361,56,1160,1,"Reef edge","CM","Animalia","Cnidaria","Hexacorallia","Scleractinia","Poritidae","Porites","sp.","Porites sp.","Genus",206485
19,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,5,124,2361,56,1160,1,"Reef edge","CM","Animalia","Cnidaria","Hexacorallia","Scleractinia","Poritidae","Porites","sp.","Porites sp.","Genus",206485
20,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,29,124,2361,56,1160,1,"Reef edge","CM","Animalia","Cnidaria","Hexacorallia","Scleractinia","Poritidae","Porites","sp.","Porites sp.","Genus",206485
21,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,5,124,2361,56,1160,1,"Reef edge","CM","Animalia","Cnidaria","Hexacorallia","Scleractinia","Poritidae","Porites","sp.","Porites sp.","Genus",206485
22,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,8,124,2361,56,1160,1,"Reef edge","CM","Animalia","Cnidaria","Hexacorallia","Scleractinia","Poritidae","Porites","sp.","Porites sp.","Genus",206485
23,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,12,124,2361,56,1160,1,"Reef edge","CM","Animalia","Cnidaria","Hexacorallia","Scleractinia","Merulinidae","Goniastrea","edwardsi","Goniastrea edwardsi","Species",207466
24,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,7,124,2361,56,1160,1,"Reef edge","CM","Animalia","Cnidaria","Hexacorallia","Scleractinia","Poritidae","Porites","sp.","Porites sp.","Genus",206485
25,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,10,124,2361,56,1160,1,"Reef edge","CM","Animalia","Cnidaria","Hexacorallia","Scleractinia","Poritidae","Porites","sp.","Porites sp.","Genus",206485
26,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,6,124,2361,56,1160,1,"Reef edge","CM","Animalia","Cnidaria","Hexacorallia","Scleractinia","Merulinidae","Dipsastraea","matthaii","Dipsastraea matthaii","Species",758240
27,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,5,124,2361,56,1160,1,"Reef edge","CME","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Milleporidae","Millepora","exaesa","Millepora sp.","Genus",210728
28,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,19,124,2361,56,1160,1,"Reef edge","CME","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Milleporidae","Millepora","exaesa","Millepora sp.","Genus",210728
29,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,5,124,2361,56,1160,1,"Reef edge","CME","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Milleporidae","Millepora","dichotoma","Millepora sp.","Genus",210733
30,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,28,124,2361,56,1160,1,"Reef edge","CME","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Milleporidae","Millepora","dichotoma","Millepora sp.","Genus",210733
31,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,2,124,2361,56,1160,1,"Reef edge","CME","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Milleporidae","Millepora","platyphylla","Millepora sp.","Genus",210730
32,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,12,124,2361,56,1160,1,"Reef edge","CME","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Milleporidae","Millepora","dichotoma","Millepora sp.","Genus",210733
