"LT","Genus","RawAbundance","Abundance"
"A1A2","Acropora",5,0.00437445319335083
"A1A2","Cyphastrea",2,0.00174978127734033
"A1A2","Dipsastraea",6,0.005249343832021
"A1A2","Goniastrea",12,0.010498687664042
"A1A2","Millepora",858,0.750656167979003
"A1A2","Montipora",11,0.00962379702537183
"A1A2","Pocillopora",177,0.154855643044619
"A1A2","Porites",72,0.062992125984252
"A3A4","Acropora",30,0.0319148936170213
"A3A4","Cyphastrea",6,0.00638297872340426
"A3A4","Dipsastraea",7,0.0074468085106383
"A3A4","Millepora",623,0.662765957446809
"A3A4","Montipora",7,0.0074468085106383
"A3A4","Pocillopora",247,0.262765957446808
"A3A4","Porites",20,0.0212765957446809
"A5A6","Acropora",17,0.0220492866407263
"A5A6","Dipsastraea",19,0.0246433203631647
"A5A6","Favites",4,0.00518806744487678
"A5A6","Goniastrea",36,0.046692607003891
"A5A6","Millepora",270,0.350194552529183
"A5A6","Montipora",14,0.0181582360570687
"A5A6","Pocillopora",267,0.346303501945525
"A5A6","Porites",111,0.143968871595331
"A5A6","Stylophora",33,0.0428015564202335
"B1B2","Acropora",60,0.0788436268068331
"B1B2","Coscinaraea",8,0.0105124835742444
"B1B2","Cyphastrea",6,0.00788436268068331
"B1B2","Dipsastraea",56,0.0735873850197109
"B1B2","Favites",16,0.0210249671484888
"B1B2","Goniastrea",95,0.124835742444152
"B1B2","Leptastrea",2,0.0026281208935611
"B1B2","Millepora",81,0.106438896189225
"B1B2","Montipora",86,0.113009198423127
"B1B2","Oxypora",10,0.0131406044678055
"B1B2","Pachyseris",8,0.0105124835742444
"B1B2","Pavona",10,0.0131406044678055
"B1B2","Pocillopora",245,0.321944809461235
"B1B2","Porites",78,0.102496714848883
"B3B4","Acropora",108,0.15629522431259
"B3B4","Astreopora",15,0.0217076700434153
"B3B4","Cyphastrea",26,0.0376266280752533
"B3B4","Dipsastraea",3,0.00434153400868307
"B3B4","Echinopora",5,0.00723589001447178
"B3B4","Galaxea",3,0.00434153400868307
"B3B4","Goniastrea",187,0.270622286541245
"B3B4","Montipora",100,0.144717800289436
"B3B4","Pavona",12,0.0173661360347323
"B3B4","Pocillopora",108,0.15629522431259
"B3B4","Porites",101,0.14616497829233
"B3B4","Seriatopora",13,0.0188133140376266
"B3B4","Stylocoeniella",3,0.00434153400868307
"B3B4","Stylophora",7,0.0101302460202605
"B5B6","Acropora",113,0.238396624472574
"B5B6","Coscinaraea",7,0.0147679324894515
"B5B6","Ctenactis",6,0.0126582278481013
"B5B6","Cyphastrea",15,0.0316455696202532
