"Age","Genus","RawAbundance","Abundance","Total"
"MIS5e","Acropora",309,0.0270104895104895,11440
"MIS5e","Cyphastrea",31,0.00270979020979021,11440
"MIS5e","Dipsastraea",318,0.0277972027972028,11440
"MIS5e","Echinopora",1451,0.126835664335664,11440
"MIS5e","Favites",134,0.0117132867132867,11440
"MIS5e","Fungia",3,0.000262237762237762,11440
"MIS5e","Galaxea",983,0.0859265734265734,11440
"MIS5e","Goniastrea",1368,0.11958041958042,11440
"MIS5e","Hydnophora",98,0.00856643356643357,11440
"MIS5e","Leptastrea",29,0.00253496503496503,11440
"MIS5e","Leptoria",124,0.0108391608391608,11440
"MIS5e","Lobophyllia",817,0.0714160839160839,11440
"MIS5e","Millepora",889,0.0777097902097902,11440
"MIS5e","Montipora",89,0.00777972027972028,11440
"MIS5e","Platygyra",356,0.0311188811188811,11440
"MIS5e","Pocillopora",904,0.079020979020979,11440
"MIS5e","Polycyathus",11,0.000961538461538462,11440
"MIS5e","Porites",3412,0.298251748251748,11440
"MIS5e","Stylocoeniella",17,0.00148601398601399,11440
"MIS5e","Turbinaria",97,0.00847902097902098,11440
"Modern","Acanthastrea",13,0.000946555992427552,13734
"Modern","Acropora",970,0.0706276394349789,13734
"Modern","Astreopora",18,0.00131061598951507,13734
"Modern","Coscinaraea",27,0.00196592398427261,13734
"Modern","Ctenactis",36,0.00262123197903014,13734
"Modern","Cyphastrea",138,0.0100480559196156,13734
"Modern","Dipsastraea",162,0.0117955439056356,13734
"Modern","Echinophyllia",18,0.00131061598951507,13734
"Modern","Echinopora",132,0.00961118392311053,13734
"Modern","Favites",30,0.00218435998252512,13734
"Modern","Galaxea",13,0.000946555992427552,13734
"Modern","Gardineroseris",17,0.00123780399009757,13734
"Modern","Goniastrea",920,0.0669870394641037,13734
"Modern","Gyrosmilia",3,0.000218435998252512,13734
"Modern","Leptastrea",101,0.0073540119411679,13734
"Modern","Leptoseris",6,0.000436871996505024,13734
"Modern","Merulina",13,0.000946555992427552,13734
"Modern","Millepora",3184,0.231833406145333,13734
"Modern","Montipora",476,0.0346585117227319,13734
"Modern","Oxypora",13,0.000946555992427552,13734
"Modern","Pachyseris",8,0.000582495995340032,13734
"Modern","Paramontastraea",72,0.00524246395806029,13734
"Modern","Pavona",77,0.00560652395514781,13734
"Modern","Pocillopora",2094,0.152468326780253,13734
"Modern","Porites",4941,0.359764089121888,13734
"Modern","Psammocora",53,0.00385903596912771,13734
"Modern","Seriatopora",55,0.00400465996796272,13734
"Modern","Stylocoeniella",28,0.00203873598369011,13734
"Modern","Stylophora",111,0.00808213193534294,13734
"Modern","Turbinaria",5,0.00036405999708752,13734
