"Acanthastrea","Acropora","Astreopora","Coscinaraea","Ctenactis","Cyphastrea","Dipsastraea","Echinophyllia","Echinopora","Favites","Fungia","Galaxea","Gardineroseris","Goniastrea","Gyrosmilia","Hydnophora","Leptastrea","Leptoria","Leptoseris","Lobophyllia","Merulina","Millepora","Montipora","Oxypora","Pachyseris","Paramontastraea","Pavona","Platygyra","Pocillopora","Polycyathus","Porites","Psammocora","Seriatopora","Stylocoeniella","Stylophora","Turbinaria","LT","Age","ReefZone"
0,0.00437445319335083,0,0,0,0.00174978127734033,0.005249343832021,0,0,0,0,0,0,0.010498687664042,0,0,0,0,0,0,0,0.750656167979003,0.00962379702537183,0,0,0,0,0,0.154855643044619,0,0.062992125984252,0,0,0,0,0,"A1A2","Modern","Reef edge"
0,0.0319148936170213,0,0,0,0.00638297872340426,0.0074468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662765957446809,0.0074468085106383,0,0,0,0,0,0.262765957446808,0,0.0212765957446809,0,0,0,0,0,"A3A4","Modern","Reef edge"
0,0.0212234706616729,0,0,0,0,0.0237203495630462,0,0,0.00499375780274657,0,0,0,0.0449438202247191,0,0,0,0,0,0,0,0.337078651685393,0.017478152309613,0,0,0,0,0,0.333333333333333,0,0.176029962546816,0,0,0,0.0411985018726592,0,"A5A6","Modern","Reef edge"
0,0.0772200772200772,0,0.0102960102960103,0,0.00772200772200772,0.0720720720720721,0,0,0.0205920205920206,0,0,0,0.122265122265122,0,0,0.00257400257400257,0,0,0,0,0.104247104247104,0.110682110682111,0.0128700128700129,0.0102960102960103,0,0.0128700128700129,0,0.315315315315315,0,0.120978120978121,0,0,0,0,0,"B1B2","Modern","Shallow reef slope"
0,0.147339699863574,0.0204638472032742,0,0,0.0354706684856753,0.00409276944065484,0,0.0068212824010914,0,0,0.00409276944065484,0,0.290586630286494,0,0,0,0,0,0,0,0,0.136425648021828,0,0,0,0.0163710777626194,0,0.147339699863574,0,0.159618008185539,0,0.0177353342428377,0.00409276944065484,0.00954979536152797,0,"B3B4","Modern","Shallow reef slope"
0,0.238396624472574,0,0.0147679324894515,0.0126582278481013,0.0316455696202532,0.0316455696202532,0,0.00421940928270042,0,0,0,0,0.19831223628692,0,0,0.00843881856540084,0,0,0,0,0.00210970464135021,0.151898734177215,0,0,0,0,0,0.261603375527426,0,0.029535864978903,0,0.0147679324894515,0,0,0,"B5B6","Modern","Shallow reef slope"
0.018005540166205,0.135734072022161,0.00415512465373961,0.00969529085872576,0,0.0595567867036011,0.0346260387811634,0,0.0443213296398892,0.0138504155124654,0,0,0,0.0789473684210526,0,0,0.00554016620498615,0,0,0,0.00831024930747922,0.0277008310249308,0.0484764542936288,0.00415512465373961,0,0.0955678670360111,0.0290858725761773,0,0.07202216066482,0,0.220221606648199,0.0554016620498615,0,0.0346260387811634,0,0,"C1C2","Modern","Deeper reef slope"
0,0.218944099378882,0,0,0,0.0279503105590062,0.0248447204968944,0,0.0512422360248447,0,0,0,0,0.16304347826087,0.0046583850931677,0,0.0295031055900621,0,0,0,0.0108695652173913,0,0.0124223602484472,0,0,0,0,0,0.0729813664596273,0,0.357142857142857,0,0,0,0.0186335403726708,0.0077639751552795,"C3C4","Modern","Deeper reef slope"
0,0.175438596491228,0,0,0,0,0.0219298245614035,0.0087719298245614,0.0833333333333333,0,0,0.0146198830409357,0,0.304093567251462,0,0,0,0,0,0,0,0.0043859649122807,0.0701754385964912,0,0,0.0043859649122807,0,0,0.0921052631578947,0,0.195906432748538,0,0.0248538011695906,0,0,0,"C5C6","Modern","Deeper reef slope"
0,0.0134560906515581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264164305949009,0.0219546742209632,0,0,0,0,0,0.0885269121813031,0,0.611898016997167,0,0,0,0,0,"D1D2","Modern","Reef edge"
0,0.0481675392670157,0,0,0,0.00104712041884817,0,0,0,0,0,0,0,0.018848167539267,0,0,0,0,0,0,0,0.45130890052356,0,0,0,0,0.0104712041884817,0,0.184293193717277,0,0.28586387434555,0,0,0,0,0,"D3D4","Modern","Reef edge"
0,0.0252469813391877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510428100987925,0.00329308452250274,0,0,0,0.00109769484083425,0,0.282107574094402,0,0.177826564215148,0,0,0,0,0,"D5D6","Modern","Reef edge"
0,0.0620782726045884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161943319838057,0,0,0,0,0,0,0,0,0,0.0134952766531714,0,0.163292847503374,0,0.744939271255061,0,0,0,0,0,"E1E2","Modern","Shallow reef slope"
0,0.0286532951289398,0,0,0,0.0114613180515759,0,0,0,0,0,0,0.0315186246418338,0.0429799426934097,0,0,0,0,0.0171919770773639,0,0,0,0.0200573065902579,0,0,0,0.0200573065902579,0,0.0515759312320917,0,0.750716332378223,0,0,0,0.0257879656160458,0,"E3E4","Modern","Shallow reef slope"
0,0.145833333333333,0,0,0.0434027777777778,0.0243055555555556,0,0,0.00520833333333333,0,0,0,0.0104166666666667,0.00347222222222222,0,0,0.0329861111111111,0,0,0,0,0.0659722222222222,0.00347222222222222,0,0,0,0,0,0.078125,0,0.536458333333333,0.00868055555555556,0,0,0.0416666666666667,0,"E5E6","Modern","Shallow reef slope"
0,0,0,0,0,0.00490196078431373,0,0,0,0,0,0,0,0.0245098039215686,0,0,0.0163398692810458,0,0,0,0,0.0277777777777778,0.0473856209150327,0,0,0,0,0,0.0359477124183007,0,0.818627450980392,0,0,0,0.0245098039215686,0,"F1F2","Modern","Deeper reef slope"
0,0.0588235294117647,0,0,0.00816993464052288,0,0,0,0,0,0,0,0,0.0816993464052288,0,0,0.0392156862745098,0,0,0,0,0,0.022875816993464,0,0,0,0,0,0,0,0.759803921568627,0,0.0294117647058824,0,0,0,"F3F4","Modern","Deeper reef slope"
