"Age","ReefZone","Genus","RawAbundance","Abundance"
"MIS5e","Reef edge","Acropora",162,0.0428005284015852
"MIS5e","Reef edge","Dipsastraea",9,0.0023778071334214
"MIS5e","Reef edge","Echinopora",498,0.131571994715984
"MIS5e","Reef edge","Favites",39,0.0103038309114927
"MIS5e","Reef edge","Galaxea",43,0.0113606340819022
"MIS5e","Reef edge","Goniastrea",50,0.0132100396301189
"MIS5e","Reef edge","Hydnophora",33,0.00871862615587847
"MIS5e","Reef edge","Lobophyllia",55,0.0145310435931308
"MIS5e","Reef edge","Millepora",477,0.126023778071334
"MIS5e","Reef edge","Platygyra",50,0.0132100396301189
"MIS5e","Reef edge","Pocillopora",226,0.0597093791281374
"MIS5e","Reef edge","Porites",2126,0.561690885072655
"MIS5e","Reef edge","Stylocoeniella",17,0.00449141347424042
"MIS5e","Reef slope","Acropora",147,0.0198998240151618
"MIS5e","Reef slope","Cyphastrea",31,0.0041965615270069
"MIS5e","Reef slope","Dipsastraea",309,0.041830242317585
"MIS5e","Reef slope","Echinopora",953,0.129010423717341
"MIS5e","Reef slope","Favites",95,0.0128604304859889
"MIS5e","Reef slope","Fungia",3,0.000406118857452281
"MIS5e","Reef slope","Galaxea",940,0.127250575335048
"MIS5e","Reef slope","Goniastrea",1280,0.17327737917964
"MIS5e","Reef slope","Hydnophora",65,0.00879924191146609
"MIS5e","Reef slope","Leptastrea",29,0.00392581562203872
"MIS5e","Reef slope","Leptoria",124,0.0167862461080276
"MIS5e","Reef slope","Lobophyllia",762,0.103154189792879
"MIS5e","Reef slope","Millepora",412,0.0557736564234466
"MIS5e","Reef slope","Montipora",89,0.0120481927710843
"MIS5e","Reef slope","Platygyra",306,0.0414241234601327
"MIS5e","Reef slope","Pocillopora",678,0.0917828617842155
"MIS5e","Reef slope","Polycyathus",11,0.00148910247732503
"MIS5e","Reef slope","Porites",1056,0.142953837823203
"MIS5e","Reef slope","Turbinaria",97,0.0131311763909571
"Modern","Reef edge","Acropora",140,0.0234113712374582
"Modern","Reef edge","Cyphastrea",9,0.00150501672240803
"Modern","Reef edge","Dipsastraea",32,0.00535117056856187
"Modern","Reef edge","Favites",4,0.000668896321070234
"Modern","Reef edge","Goniastrea",66,0.0110367892976589
"Modern","Reef edge","Millepora",3020,0.505016722408027
"Modern","Reef edge","Montipora",66,0.0110367892976589
"Modern","Reef edge","Pavona",11,0.00183946488294314
"Modern","Reef edge","Pocillopora",1249,0.208862876254181
"Modern","Reef edge","Porites",1350,0.225752508361204
"Modern","Reef edge","Stylophora",33,0.00551839464882943
"Modern","Reef slope","Acropora",421,0.126540426810941
"Modern","Reef slope","Astreopora",15,0.00450856627592426
"Modern","Reef slope","Coscinaraea",15,0.00450856627592426
"Modern","Reef slope","Ctenactis",31,0.00931770363691013
"Modern","Reef slope","Cyphastrea",65,0.0195371205290051
"Modern","Reef slope","Dipsastraea",74,0.0222422602945597
"Modern","Reef slope","Echinopora",10,0.00300571085061617
"Modern","Reef slope","Favites",16,0.00480913736098587
"Modern","Reef slope","Galaxea",3,0.000901713255184851
"Modern","Reef slope","Gardineroseris",17,0.00510970844604749
"Modern","Reef slope","Goniastrea",393,0.118124436429216
"Modern","Reef slope","Leptastrea",37,0.0111211301472798
"Modern","Reef slope","Leptoseris",6,0.0018034265103697
"Modern","Reef slope","Millepora",120,0.036068530207394
"Modern","Reef slope","Montipora",267,0.0802524797114518
"Modern","Reef slope","Oxypora",10,0.00300571085061617
"Modern","Reef slope","Pachyseris",8,0.00240456868049294
"Modern","Reef slope","Pavona",39,0.0117222723174031
"Modern","Reef slope","Pocillopora",641,0.192666065524497
"Modern","Reef slope","Porites",1071,0.321911632100992
"Modern","Reef slope","Psammocora",5,0.00150285542530809
"Modern","Reef slope","Seriatopora",20,0.00601142170123234
"Modern","Reef slope","Stylocoeniella",3,0.000901713255184851
"Modern","Reef slope","Stylophora",40,0.0120228434024647
