"LT","Age","ReefZone","Genus","RawAbundance","Abundance","Total"
"A1A2","Modern","Reef edge","Acropora",5,0.00437445319335083,1143
"A1A2","Modern","Reef edge","Cyphastrea",2,0.00174978127734033,1143
"A1A2","Modern","Reef edge","Dipsastraea",6,0.005249343832021,1143
"A1A2","Modern","Reef edge","Goniastrea",12,0.010498687664042,1143
"A1A2","Modern","Reef edge","Millepora",858,0.750656167979003,1143
"A1A2","Modern","Reef edge","Montipora",11,0.00962379702537183,1143
"A1A2","Modern","Reef edge","Pocillopora",177,0.154855643044619,1143
"A1A2","Modern","Reef edge","Porites",72,0.062992125984252,1143
"A3A4","Modern","Reef edge","Acropora",30,0.0319148936170213,940
"A3A4","Modern","Reef edge","Cyphastrea",6,0.00638297872340426,940
"A3A4","Modern","Reef edge","Dipsastraea",7,0.0074468085106383,940
"A3A4","Modern","Reef edge","Millepora",623,0.662765957446809,940
"A3A4","Modern","Reef edge","Montipora",7,0.0074468085106383,940
"A3A4","Modern","Reef edge","Pocillopora",247,0.262765957446808,940
"A3A4","Modern","Reef edge","Porites",20,0.0212765957446809,940
"A5A6","Modern","Reef edge","Acropora",17,0.0212234706616729,801
"A5A6","Modern","Reef edge","Dipsastraea",19,0.0237203495630462,801
"A5A6","Modern","Reef edge","Favites",4,0.00499375780274657,801
"A5A6","Modern","Reef edge","Goniastrea",36,0.0449438202247191,801
"A5A6","Modern","Reef edge","Millepora",270,0.337078651685393,801
"A5A6","Modern","Reef edge","Montipora",14,0.017478152309613,801
"A5A6","Modern","Reef edge","Pocillopora",267,0.333333333333333,801
"A5A6","Modern","Reef edge","Porites",141,0.176029962546816,801
"A5A6","Modern","Reef edge","Stylophora",33,0.0411985018726592,801
"B1B2","Modern","Shallow reef slope","Acropora",60,0.0772200772200772,777
"B1B2","Modern","Shallow reef slope","Coscinaraea",8,0.0102960102960103,777
"B1B2","Modern","Shallow reef slope","Cyphastrea",6,0.00772200772200772,777
"B1B2","Modern","Shallow reef slope","Dipsastraea",56,0.0720720720720721,777
"B1B2","Modern","Shallow reef slope","Favites",16,0.0205920205920206,777
"B1B2","Modern","Shallow reef slope","Goniastrea",95,0.122265122265122,777
"B1B2","Modern","Shallow reef slope","Leptastrea",2,0.00257400257400257,777
"B1B2","Modern","Shallow reef slope","Millepora",81,0.104247104247104,777
"B1B2","Modern","Shallow reef slope","Montipora",86,0.110682110682111,777
"B1B2","Modern","Shallow reef slope","Oxypora",10,0.0128700128700129,777
"B1B2","Modern","Shallow reef slope","Pachyseris",8,0.0102960102960103,777
"B1B2","Modern","Shallow reef slope","Pavona",10,0.0128700128700129,777
"B1B2","Modern","Shallow reef slope","Pocillopora",245,0.315315315315315,777
"B1B2","Modern","Shallow reef slope","Porites",94,0.120978120978121,777
"B3B4","Modern","Shallow reef slope","Acropora",108,0.147339699863574,733
"B3B4","Modern","Shallow reef slope","Astreopora",15,0.0204638472032742,733
"B3B4","Modern","Shallow reef slope","Cyphastrea",26,0.0354706684856753,733
"B3B4","Modern","Shallow reef slope","Dipsastraea",3,0.00409276944065484,733
"B3B4","Modern","Shallow reef slope","Echinopora",5,0.0068212824010914,733
"B3B4","Modern","Shallow reef slope","Galaxea",3,0.00409276944065484,733
"B3B4","Modern","Shallow reef slope","Goniastrea",213,0.290586630286494,733
"B3B4","Modern","Shallow reef slope","Montipora",100,0.136425648021828,733
"B3B4","Modern","Shallow reef slope","Pavona",12,0.0163710777626194,733
"B3B4","Modern","Shallow reef slope","Pocillopora",108,0.147339699863574,733
"B3B4","Modern","Shallow reef slope","Porites",117,0.159618008185539,733
"B3B4","Modern","Shallow reef slope","Seriatopora",13,0.0177353342428377,733
"B3B4","Modern","Shallow reef slope","Stylocoeniella",3,0.00409276944065484,733
"B3B4","Modern","Shallow reef slope","Stylophora",7,0.00954979536152797,733
"B5B6","Modern","Shallow reef slope","Acropora",113,0.238396624472574,474
"B5B6","Modern","Shallow reef slope","Coscinaraea",7,0.0147679324894515,474
"B5B6","Modern","Shallow reef slope","Ctenactis",6,0.0126582278481013,474
"B5B6","Modern","Shallow reef slope","Cyphastrea",15,0.0316455696202532,474
"B5B6","Modern","Shallow reef slope","Dipsastraea",15,0.0316455696202532,474
"B5B6","Modern","Shallow reef slope","Echinopora",2,0.00421940928270042,474
"B5B6","Modern","Shallow reef slope","Goniastrea",94,0.19831223628692,474
"B5B6","Modern","Shallow reef slope","Leptastrea",4,0.00843881856540084,474
"B5B6","Modern","Shallow reef slope","Millepora",1,0.00210970464135021,474
"B5B6","Modern","Shallow reef slope","Montipora",72,0.151898734177215,474
"B5B6","Modern","Shallow reef slope","Pocillopora",124,0.261603375527426,474
"B5B6","Modern","Shallow reef slope","Porites",14,0.029535864978903,474
"B5B6","Modern","Shallow reef slope","Seriatopora",7,0.0147679324894515,474
"C1C2","Modern","Deeper reef slope","Acanthastrea",13,0.018005540166205,722
"C1C2","Modern","Deeper reef slope","Acropora",98,0.135734072022161,722
"C1C2","Modern","Deeper reef slope","Astreopora",3,0.00415512465373961,722
"C1C2","Modern","Deeper reef slope","Coscinaraea",7,0.00969529085872576,722
"C1C2","Modern","Deeper reef slope","Cyphastrea",43,0.0595567867036011,722
"C1C2","Modern","Deeper reef slope","Dipsastraea",25,0.0346260387811634,722
"C1C2","Modern","Deeper reef slope","Echinopora",32,0.0443213296398892,722
"C1C2","Modern","Deeper reef slope","Favites",10,0.0138504155124654,722
"C1C2","Modern","Deeper reef slope","Goniastrea",57,0.0789473684210526,722
"C1C2","Modern","Deeper reef slope","Leptastrea",4,0.00554016620498615,722
"C1C2","Modern","Deeper reef slope","Merulina",6,0.00831024930747922,722
"C1C2","Modern","Deeper reef slope","Millepora",20,0.0277008310249308,722
"C1C2","Modern","Deeper reef slope","Montipora",35,0.0484764542936288,722
"C1C2","Modern","Deeper reef slope","Oxypora",3,0.00415512465373961,722
"C1C2","Modern","Deeper reef slope","Paramontastraea",69,0.0955678670360111,722
"C1C2","Modern","Deeper reef slope","Pavona",21,0.0290858725761773,722
"C1C2","Modern","Deeper reef slope","Pocillopora",52,0.07202216066482,722
"C1C2","Modern","Deeper reef slope","Porites",159,0.220221606648199,722
"C1C2","Modern","Deeper reef slope","Psammocora",40,0.0554016620498615,722
"C1C2","Modern","Deeper reef slope","Stylocoeniella",25,0.0346260387811634,722
"C3C4","Modern","Deeper reef slope","Acropora",141,0.218944099378882,644
"C3C4","Modern","Deeper reef slope","Cyphastrea",18,0.0279503105590062,644
"C3C4","Modern","Deeper reef slope","Dipsastraea",16,0.0248447204968944,644
"C3C4","Modern","Deeper reef slope","Echinopora",33,0.0512422360248447,644
"C3C4","Modern","Deeper reef slope","Goniastrea",105,0.16304347826087,644
"C3C4","Modern","Deeper reef slope","Gyrosmilia",3,0.0046583850931677,644
"C3C4","Modern","Deeper reef slope","Leptastrea",19,0.0295031055900621,644
"C3C4","Modern","Deeper reef slope","Merulina",7,0.0108695652173913,644
"C3C4","Modern","Deeper reef slope","Montipora",8,0.0124223602484472,644
"C3C4","Modern","Deeper reef slope","Pocillopora",47,0.0729813664596273,644
"C3C4","Modern","Deeper reef slope","Porites",230,0.357142857142857,644
"C3C4","Modern","Deeper reef slope","Stylophora",12,0.0186335403726708,644
"C3C4","Modern","Deeper reef slope","Turbinaria",5,0.0077639751552795,644
"C5C6","Modern","Deeper reef slope","Acropora",120,0.183206106870229,655
"C5C6","Modern","Deeper reef slope","Dipsastraea",15,0.0229007633587786,655
"C5C6","Modern","Deeper reef slope","Echinophyllia",6,0.00916030534351145,655
"C5C6","Modern","Deeper reef slope","Echinopora",57,0.0870229007633588,655
"C5C6","Modern","Deeper reef slope","Galaxea",10,0.0152671755725191,655
"C5C6","Modern","Deeper reef slope","Goniastrea",208,0.317557251908397,655
"C5C6","Modern","Deeper reef slope","Millepora",3,0.00458015267175573,655
"C5C6","Modern","Deeper reef slope","Montipora",40,0.0610687022900763,655
"C5C6","Modern","Deeper reef slope","Paramontastraea",3,0.00458015267175573,655
"C5C6","Modern","Deeper reef slope","Pocillopora",63,0.0961832061068702,655
"C5C6","Modern","Deeper reef slope","Porites",113,0.172519083969466,655
"C5C6","Modern","Deeper reef slope","Seriatopora",17,0.0259541984732824,655
"D1D2","Modern","Reef edge","Acropora",19,0.0138483965014577,1372
"D1D2","Modern","Reef edge","Millepora",373,0.271865889212828,1372
"D1D2","Modern","Reef edge","Montipora",31,0.0225947521865889,1372
"D1D2","Modern","Reef edge","Pocillopora",125,0.0911078717201166,1372
"D1D2","Modern","Reef edge","Porites",824,0.600583090379009,1372
"D3D4","Modern","Reef edge","Acropora",46,0.0481675392670157,955
"D3D4","Modern","Reef edge","Cyphastrea",1,0.00104712041884817,955
"D3D4","Modern","Reef edge","Goniastrea",18,0.018848167539267,955
"D3D4","Modern","Reef edge","Millepora",431,0.45130890052356,955
"D3D4","Modern","Reef edge","Pavona",10,0.0104712041884817,955
"D3D4","Modern","Reef edge","Pocillopora",176,0.184293193717277,955
"D3D4","Modern","Reef edge","Porites",273,0.28586387434555,955
"D5D6","Modern","Reef edge","Acropora",23,0.0252469813391877,911
"D5D6","Modern","Reef edge","Millepora",465,0.510428100987925,911
"D5D6","Modern","Reef edge","Montipora",3,0.00329308452250274,911
"D5D6","Modern","Reef edge","Pavona",1,0.00109769484083425,911
"D5D6","Modern","Reef edge","Pocillopora",257,0.282107574094402,911
"D5D6","Modern","Reef edge","Porites",162,0.177826564215148,911
"E1E2","Modern","Shallow reef slope","Acropora",46,0.0651558073654391,706
"E1E2","Modern","Shallow reef slope","Leptastrea",12,0.0169971671388102,706
"E1E2","Modern","Shallow reef slope","Pavona",10,0.0141643059490085,706
"E1E2","Modern","Shallow reef slope","Pocillopora",101,0.143059490084986,706
"E1E2","Modern","Shallow reef slope","Porites",537,0.760623229461757,706
