"Age","LT","ReefZone","Coverage","Alpha","Pielou"
"MIS5e","SB_1","Reef slope",0.671627906976744,14,0.7370643268961
"MIS5e","SB_2","Reef slope",0.801293900184843,13,0.829036888118999
"MIS5e","SB_3","Reef slope",0.611251049538203,15,0.848594096804243
"MIS5e","SB_4","Reef slope",0.7295,13,0.824842561257057
"MIS5e","SB_5","Reef edge",0.877161862527716,11,0.600659777532288
"MIS5e","SB_6","Reef slope",0.814484126984127,15,0.879986207705044
"MIS5e","SB_7","Reef edge",0.877184466019417,10,0.642229293426876
"Modern","A1A2","Reef edge",0.546367112810708,8,0.400708645463276
"Modern","A3A4","Reef edge",0.447619047619047,7,0.473246696407472
"Modern","A5A6","Reef edge",0.373546511627907,9,0.713226259851165
"Modern","B1B2","Reef slope",0.331450912250217,14,0.788110662075304
"Modern","B3B4","Reef slope",0.239561943874059,14,0.757628230497928
"Modern","B5B6","Reef slope",0.219342896807034,13,0.732365553409846
"Modern","D1D2","Reef edge",0.639090469279148,5,0.64793099068335
"Modern","D3D4","Reef edge",0.466176470588235,7,0.670526935431145
"Modern","D5D6","Reef edge",0.430010070493454,6,0.600069077265902
"Modern","E1E2","Reef slope",0.271565495207668,5,0.550234865417674
"Modern","E3E4","Reef slope",0.127887788778878,10,0.51439304677962
"Modern","E5E6","Reef slope",0.219760744350908,13,0.690072199121891
