"LT","Age","ReefZone","Name","Median","LQR","UQR"
"A1A2","Modern","Reef edge","Alpha",8,8,8
"A1A2","Modern","Reef edge","Pielou",0.400708645463276,0.400708645463276,0.400708645463276
"A1A2","Modern","Reef edge","Shannon",0.833250203486593,0.833250203486593,0.833250203486593
"A3A4","Modern","Reef edge","Alpha",7,7,7
"A3A4","Modern","Reef edge","Pielou",0.473246696407472,0.473246696407472,0.473246696407472
"A3A4","Modern","Reef edge","Shannon",0.920895549546197,0.920895549546197,0.920895549546197
"A5A6","Modern","Reef edge","Alpha",9,9,9
"A5A6","Modern","Reef edge","Pielou",0.717758161620901,0.717758161620901,0.717758161620901
"A5A6","Modern","Reef edge","Shannon",1.57707587329711,1.57707587329711,1.57707587329711
"B1B2","Modern","Shallow reef slope","Alpha",14,14,14
"B1B2","Modern","Shallow reef slope","Pielou",0.788986934535724,0.788986934535724,0.788986934535724
"B1B2","Modern","Shallow reef slope","Shannon",2.08218175255718,2.08218175255718,2.08218175255718
"B3B4","Modern","Shallow reef slope","Alpha",14,14,14
"B3B4","Modern","Shallow reef slope","Pielou",0.746820008188782,0.746820008188782,0.746820008188782
"B3B4","Modern","Shallow reef slope","Shannon",1.97090081651393,1.97090081651393,1.97090081651393
"B5B6","Modern","Shallow reef slope","Alpha",13,13,13
"B5B6","Modern","Shallow reef slope","Pielou",0.732365553409846,0.732365553409846,0.732365553409846
"B5B6","Modern","Shallow reef slope","Shannon",1.87848055564555,1.87848055564555,1.87848055564555
"C1C2","Modern","Deeper reef slope","Alpha",20,20,20
"C1C2","Modern","Deeper reef slope","Pielou",0.853738852866819,0.853738852866819,0.853738852866819
"C1C2","Modern","Deeper reef slope","Shannon",2.55757303472009,2.55757303472009,2.55757303472009
"C3C4","Modern","Deeper reef slope","Alpha",13,13,13
"C3C4","Modern","Deeper reef slope","Pielou",0.731254257631965,0.731254257631965,0.731254257631965
"C3C4","Modern","Deeper reef slope","Shannon",1.87563013825412,1.87563013825412,1.87563013825412
"C5C6","Modern","Deeper reef slope","Alpha",12,12,12
"C5C6","Modern","Deeper reef slope","Pielou",0.775243703955497,0.775243703955497,0.775243703955497
"C5C6","Modern","Deeper reef slope","Shannon",1.9264082351653,1.9264082351653,1.9264082351653
"D1D2","Modern","Reef edge","Alpha",5,5,5
"D1D2","Modern","Reef edge","Pielou",0.62671034000039,0.62671034000039,0.62671034000039
"D1D2","Modern","Reef edge","Shannon",1.00865138131109,1.00865138131109,1.00865138131109
"D3D4","Modern","Reef edge","Alpha",7,7,7
"D3D4","Modern","Reef edge","Pielou",0.670425165817944,0.670425165817944,0.670425165817944
"D3D4","Modern","Reef edge","Shannon",1.30458713434723,1.30458713434723,1.30458713434723
"D5D6","Modern","Reef edge","Alpha",6,6,6
"D5D6","Modern","Reef edge","Pielou",0.628738773931977,0.628738773931977,0.628738773931977
"D5D6","Modern","Reef edge","Shannon",1.12654865186346,1.12654865186346,1.12654865186346
"E1E2","Modern","Shallow reef slope","Alpha",5,5,5
"E1E2","Modern","Shallow reef slope","Pielou",0.504947456357576,0.504947456357576,0.504947456357576
"E1E2","Modern","Shallow reef slope","Shannon",0.812681580049046,0.812681580049046,0.812681580049046
"E3E4","Modern","Shallow reef slope","Alpha",10,10,10
"E3E4","Modern","Shallow reef slope","Pielou",0.471813293856098,0.471813293856098,0.471813293856098
"E3E4","Modern","Shallow reef slope","Shannon",1.08639025710947,1.08639025710947,1.08639025710947
"E5E6","Modern","Shallow reef slope","Alpha",13,13,13
"E5E6","Modern","Shallow reef slope","Pielou",0.631710786983498,0.631710786983498,0.631710786983498
"E5E6","Modern","Shallow reef slope","Shannon",1.62030617717484,1.62030617717484,1.62030617717484
"F1F2","Modern","Deeper reef slope","Alpha",8,8,8
"F1F2","Modern","Deeper reef slope","Pielou",0.38592734054893,0.38592734054893,0.38592734054893
"F1F2","Modern","Deeper reef slope","Shannon",0.802513344007466,0.802513344007466,0.802513344007466
"F3F4","Modern","Deeper reef slope","Alpha",7,7,7
"F3F4","Modern","Deeper reef slope","Pielou",0.48122629421023,0.48122629421023,0.48122629421023
"F3F4","Modern","Deeper reef slope","Shannon",0.936423129895964,0.936423129895964,0.936423129895964
"F5F6","Modern","Deeper reef slope","Alpha",10,10,10
"F5F6","Modern","Deeper reef slope","Pielou",0.265305867431241,0.265305867431241,0.265305867431241
"F5F6","Modern","Deeper reef slope","Shannon",0.61088933543103,0.61088933543103,0.61088933543103
"SB_1","MIS5e","Shallow reef slope","Alpha",14,14,14
"SB_1","MIS5e","Shallow reef slope","Pielou",0.737747095106278,0.737747095106278,0.737747095106278
"SB_1","MIS5e","Shallow reef slope","Shannon",1.94695687874259,1.94695687874259,1.94695687874259
"SB_2","MIS5e","Shallow reef slope","Alpha",13,13,13
"SB_2","MIS5e","Shallow reef slope","Pielou",0.829036888118999,0.829036888118999,0.829036888118999
"SB_2","MIS5e","Shallow reef slope","Shannon",2.12643763349274,2.12643763349274,2.12643763349274
"SB_3","MIS5e","Shallow reef slope","Alpha",15,15,15
"SB_3","MIS5e","Shallow reef slope","Pielou",0.855618884328529,0.855618884328529,0.855618884328529
"SB_3","MIS5e","Shallow reef slope","Shannon",2.31705889177272,2.31705889177272,2.31705889177272
"SB_4","MIS5e","Shallow reef slope","Alpha",13,13,13
"SB_4","MIS5e","Shallow reef slope","Pielou",0.824842561257057,0.824842561257057,0.824842561257057
"SB_4","MIS5e","Shallow reef slope","Shannon",2.11567939750322,2.11567939750322,2.11567939750322
"SB_5","MIS5e","Reef edge","Alpha",11,11,11
"SB_5","MIS5e","Reef edge","Pielou",0.57201631203856,0.57201631203856,0.57201631203856
"SB_5","MIS5e","Reef edge","Shannon",1.37163521060082,1.37163521060082,1.37163521060082
"SB_6","MIS5e","Reef edge","Alpha",15,15,15
"SB_6","MIS5e","Reef edge","Pielou",0.879986207705044,0.879986207705044,0.879986207705044
"SB_6","MIS5e","Reef edge","Shannon",2.38304682674282,2.38304682674282,2.38304682674282
"SB_7","MIS5e","Reef edge","Alpha",10,10,10
"SB_7","MIS5e","Reef edge","Pielou",0.642229293426876,0.642229293426876,0.642229293426876
"SB_7","MIS5e","Reef edge","Shannon",1.47878759732882,1.47878759732882,1.47878759732882
