"Age","Category","n","Total","Abundance"
"MIS5e","AC",10,344,0.0290697674418605
"MIS5e","ACB",4,344,0.0116279069767442
"MIS5e","ACD",11,344,0.0319767441860465
"MIS5e","CB",31,344,0.0901162790697674
"MIS5e","CD",31,344,0.0901162790697674
"MIS5e","CE",24,344,0.0697674418604651
"MIS5e","CF",28,344,0.0813953488372093
"MIS5e","CM",165,344,0.479651162790698
"MIS5e","CME",36,344,0.104651162790698
"MIS5e","CMR",1,344,0.00290697674418605
"MIS5e","Other",3,344,0.00872093023255814
"Modern","ACB",52,1189,0.0437342304457527
"Modern","ACD",7,1189,0.00588730025231287
"Modern","CB",171,1189,0.143818334735071
"Modern","CD",11,1189,0.00925147182506308
"Modern","CE",243,1189,0.204373423044575
"Modern","CF",2,1189,0.0016820857863751
"Modern","CM",579,1189,0.486963835155593
"Modern","CME",118,1189,0.0992430613961312
"Modern","CMR",4,1189,0.00336417157275021
"Modern","Other",2,1189,0.0016820857863751
