"","average","sd","ratio","ava","avb","cumsum","p"
"Porites",0.146761598965164,0.116098393595747,1.26411395041507,0.381936516339797,0.270651592016861,0.229827189198634,0.945
"Millepora",0.0927443445674098,0.10154490101269,0.913333349508308,0.179171216890657,0.0731525935322518,0.375063900820022,0.985
"Goniastrea",0.064199200017526,0.0588638038710966,1.09063967660182,0.0777941986871172,0.131197075827945,0.475599202921297,0.211
"Echinopora",0.0585290811002131,0.0211810745140793,2.76327251770481,0.011046416191401,0.127885266986998,0.567255155776061,0.001
"Pocillopora",0.0509912254510772,0.0411788267776859,1.23828747541463,0.143685748720935,0.080376948589945,0.647106902430829,0.846
"Galaxea",0.045952311851268,0.029441002863904,1.56082698893412,0.00107555250073189,0.0928392251207728,0.719067761023429,0.001
"Lobophyllia",0.0383565941422599,0.0325026852678117,1.18010539209957,0,0.0767131882845198,0.779133802011718,0.001
"Acropora",0.0332531346594306,0.0336576943242692,0.987980172945274,0.081445529446429,0.0254489933900202,0.831207876733639,0.763
"Montipora",0.0180970709943873,0.0215655195477757,0.83916693749462,0.0385248420299555,0.0086940807611307,0.859547708056651,0.703
"Dipsastraea",0.0163729561608292,0.0183758171227623,0.891005610876909,0.0125888019819734,0.0311145167663199,0.885187592875629,0.106
"Platygyra",0.0163326609523992,0.0111368265729409,1.46654532558518,0,0.0326653219047985,0.910764375803124,0.001
"Cyphastrea",0.0060663970262882,0.00762331947747546,0.79576843712408,0.011819643264838,0.00291602218623874,0.920264292586163,0.922
"Leptoria",0.00581582439249296,0.0120190490431262,0.483883905592273,0,0.0116316487849859,0.929371815142638,0.001
"Favites",0.00551559169437442,0.00338935051788095,1.6273299752493,0.00219089966151292,0.0116663345609449,0.938009176310843,0.004
"Stylophora",0.00502093759587357,0.00723144137527014,0.694320445304863,0.0100418751917471,0,0.945871914131486,0.862
"Leptastrea",0.00485749678835535,0.00588108968730523,0.825951829784303,0.00910108421874954,0.00264942571231391,0.953478705289942,0.901
"Turbinaria",0.0045774043771346,0.00521985636229434,0.876921520331383,0.000431331953071083,0.00909318990383047,0.960646874547024,0.003
"Hydnophora",0.00443126453237126,0.00533272071476353,0.830957548574295,0,0.00886252906474253,0.96758619027574,0.001
"Pavona",0.00315581340330159,0.0043818446041233,0.72020203553818,0.00631162680660317,0,0.972528162353112,0.788
"Paramontastraea",0.00278188943632686,0.0109707752693096,0.253572730097671,0.00556377887265371,0,0.976884573255695,0.452
"Seriatopora",0.00244081194198483,0.00479510832114309,0.509021231329135,0.00488162388396967,0,0.980706860229564,0.744
"Psammocora",0.00212299712827119,0.00645107697673214,0.329091892086927,0.00424599425654238,0,0.984031452398822,0.627
"Ctenactis",0.00178419278517783,0.00513245603173863,0.347629433967783,0.00356838557035566,0,0.98682548037138,0.648
"Stylocoeniella",0.00154788817935374,0.00395593975529354,0.391282040451317,0.00215104490121212,0.0011359080582654,0.989249457705799,0.299
"Coscinaraea",0.00117986897296954,0.00229862412182629,0.513293566253938,0.00235973794593909,0,0.991097120661179,0.731
"Gardineroseris",0.00117502012882448,0.00378941732703599,0.310079367727902,0.00235004025764896,0,0.992937190375353,0.503
"Echinophyllia",0.000768856218389721,0.00231947949028787,0.331477912009603,0.00153771243677944,0,0.994141211487254,0.467
"Astreopora",0.000683860329361495,0.00237340918844263,0.288134188024369,0.00136772065872299,0,0.995212129891045,0.458
"Merulina",0.000532772625690848,0.00152800204119469,0.348672718574573,0.0010655452513817,0,0.996046446469141,0.458
"Polycyathus",0.000509542338336113,0.0012531012609845,0.406625030395222,0,0.00101908467667223,0.996844384650676,0.001
"Acanthastrea",0.000500153893505694,0.00207041964947909,0.241571264855187,0.00100030778701139,0,0.99762762062195,0.241
"Leptoseris",0.000483091787439614,0.00199978994906207,0.241571264855187,0.000966183574879228,0,0.998384137506578,0.292
"Oxypora",0.000472920486770903,0.00152813254437293,0.30947609126731,0.000945840973541806,0,0.999124726236569,0.451
"Pachyseris",0.000286000286000286,0.00118391682956056,0.241571264855187,0.000572000572000572,0,0.99957259981048,0.261
"Fungia",0.00014352693522151,0.000352971225312933,0.406625030395221,0,0.00028705387044302,0.99979736154876,0.001
"Gyrosmilia",0.000129399585921325,0.000535658022070195,0.241571264855188,0.00025879917184265,0,1,0.285
